tag,sentence,trigger,event_type
0,"Well, we'll debate that later on in the show. We'll have a couple of experts come out, so I'll withhold my comments until then. Even as the secretary of homeland security was putting his people on high alert last month, a 30-foot Cuban patrol boat with four heavily armed men landed on American shores, utterly undetected by the Coast Guard Secretary Ridge now leads. Now, why has our president placed homeland security in the hands of Republican political hacks instead of professionals, by the way",landed,Transport
1,"Attorney General John Ashcroft, for example, is a career politician. He lost an election to a dead man. Secretary of Homeland Security Tom Ridge is another career politician who was passed over by Mr. Bush for the vice presidency. And Deputy Secretary of Homeland Security Asa Hutchinson is yet another career politician and a graduate of the disgraceful Bob Jones University. Apparently, Mr. Bush only turns to professionals when it's really important, like political consulting.",election,Elect
2,"Paul, as I understand your definition of a political -- of a professional politician based on that is somebody who is elected to public office. Now in your administration, the Clinton administration, there were these members of the cabinet who by your definition were professional politicians -- Lloyd Bentsen, Les Aspin, William S. Cohen, Janet Reno, Bruce Babbitt, Mike Espy, Dan Glickman, Norman Mineta, Henry Cisneros, Federico Pena, Bill Richardson, Richard Riley, 12 of them, not to mention former Democratic National Chairman Ron Brown, and one of the great professional politicians of all time, Bill Daly.",elected,Elect
3,"And you know what, they did a hell of a job for our country. And these bozos let four armed Cubans land on our shores when they're trying to make a high terrorist alert. Our president has put homeland security in the hands of failed Republican hacks. Hire professionals, Mr. President.",land,Transport
4,"Just a minute, let me finish my sentence, please. It's OK to put Democratic career politicians at the Pentagon and the Justice Department if they're Democrats but not if they're Republicans, is that right",put,Start-Position
5,"Another potential Democratic presidential candidate pondered whether to run, and he made his announcement, and surprise, surprise, the answer was no. Senator Christopher Dodd of Connecticut made the announcement today that he would not be the 10th candidate for the nomination. Why not",nomination,Nominate
6,"Surely Chris Dodd is at least more credible than Carol Moseley-Braun or Dennis Kucinich. He explained he could better spend the next two years on homeland security, the economy and judicial nominations. I guess that means harassing Tom Ridge, fighting tax cuts and obstructing President Bush's plans to reform judiciary. Some two years.",nominations,Nominate
7,"God, I hope so. that's all I can say. I love Senator Dodd. He would have brought a lot to the race. He brings a lot to the Senate and to the debate. And I'm glad that he's going to be fighting those fights. Well, the Commerce Department reports today that consumer spending declined in January and that the manufacturing sector slowed in February. In all, two million Americans have lost their jobs under President Bush so far, not to mention three of them being the top three leaders of his economic team. Meanwhile, the deficit now at $300 billion. It could swell to as much as $500 billion if we go to war in Iraq. Mr. Bush apparently is untroubled by this fiscal collapse. One of his aides tells the current issue of ""TIME,"" magazine, quote, ""even if it's $500 billion, so what",war,Attack
8,"Welcome back. Orders went out today to deploy 17,000 U.S. Army soldiers in the Persian Gulf region. The army's entire first Calvary division based at Fort Hood, Texas, would join the quarter million U.S. forces already in the region. We're talking about possibilities of full scale war with former Congressman Tom Andrews, Democrat of Maine. He's now national director of Win Without War, and former Congressman Bob Dornan, Republican of California.",deploy,Transport
9,"Bob, one of the reasons I think so many Americans are worried about this war and so many people around the world don't want to go is there have been a lot of problems with credibility from this administration. Our president has repeatedly, for example, relied on a man whom you're aware, Hussein Kamel, Saddam Hussein's son-in-law, leader of the Iraq arms program who defected for a time. And gave us a whole lot of information and then went home and his father-in-law killed him. Bad move. But while he was here, he gave us a whole lot of information. Gave us a whole lot of information. Well, our president told us that information proves that the dictator had chemical weapons, which is true. But what we just learned this week from ""Newsweek"" magazine which got a hold of the debriefings, is that he also told us it was destroyed back in 1995. Why hasn't our president told us that",killed,Die
10,I don't believe that he believed it was all destroyed. The fact that this guy was such an idiot to go back and let his father-in-law kill him shows he wasn't the most stable of people. But the things that...,kill,Die
11,"Paul, look, the problem is I would stipulate all four of us hates war. Any rational person hates war. Bush isn't sitting in that White House not thinking about the body bags coming home with great young men. Clinton suffered greatly over the 19 Rangers that died, 18 on the 3rd of October and Matt Reersen (ph) three days later. I visited all their families. I was at the medal of honor ceremony for the kids. Let me tell you, what trips to Walter Reed taught me was, that whoever thought up the term, the law of unintended consequences it pertains to war. I am shook over the aftermath. But, this guy is a monster, a mini-me Hitler. He will blow a city off the earth in a minute if he can get the hold of the means to do it.",war,Attack
12,"Tom Andrews, I think we all realize that a government doesn't go to war a nation goes to war. And so I would like you to take a look at the CNN/""USA TODAY""/Gallup poll, taken last week, should U.S. troops to go to Iraq to remove Saddam Hussein from power. Take a look at it. Favor 59%, opposed 37%, that's a vastly larger support than President Bush Senior had in getting the U.S. troops out of Kuwait before that war started. That's pretty good support isn't it",war,Attack
