,sentence,trigger,event_type,tag
1191,(()) -- You know who I would name,name,23,732
460,What do you think US policy should be toward Palestine now that Arafat has died,died,1,824
26,"Yesterday, there were scenes of jubilation in Baghdad, today, a suicide bombing and firefighters, grim reminders that, as U.S. Central Command put it, Baghdad is still an ugly place. CNN's John Irvine has this profile of a city literally teetering on a razor's edge.",bombing,0,279
1050,"My uncle declared bankruptcy in 2003 and his case closed in June 2004. If I give him shares in my corporation in Feb 2004 of my S Corporation making him 30% shareholder, and I finally distributed profit this year, will the creditors attempt to that take money from him in 2005",bankruptcy,19,1649
804,The protest follows a string of others involving tens of thousands of peace activists across Japan since January.,protest,10,1022
103,"All right, Wolf, and we will be watching. Thanks very much. Well, at the Pentagon briefing this afternoon, officials describing several units of the Republican Guard as effectively no longer being a credible fighting force. Let's get the very latest from the Pentagon for the overall war picture as they see it. Our Jamie McIntyre our senior military affairs correspondent is with us now. Hello, again, Jamie.",war,0,167
1002,"3. Bush Cabinet President Bush has just been elected to another term in office, and he has already started to appoint new people to his political cabinet as current members like Colin Powell and John Ashcroft resign.  Who would you like to see appointed to his cabinet next term",elected,17,742
898,"The FARC sought the exchange of more than 70 politicians, soldiers and policemen in its control for nearly 500 rebels imprisoned by the government, said Luis Devia, also known as Raul Reyes, a FARC leader, in a letter sent to the program Noticias Uno.",letter,15,1531
55,"... (UNINTELLIGIBLE) retention, for retention capability. So he goes down the hallway, and you can see once that's called clear, straight trigger finger, in case there's any sympathetic muscle tightening, there's no problem. You'll see another person come right up here, and he'll hold on this door, because that's not been cleared space yet, again, straight trigger finger, but ready to shoot if he needs to.",shoot,0,233
1219,The Supreme Court rejected earlier appeals for a case review from five of the convicts. The sixth offender has only made one appeal for a review.,appeals,25,1010
259,"``If U.S. forces seriously degrade Iraq's half-dozen Republican Guard divisions before that final battle, and only have to face perhaps 30,000 Special Republican Guard, fedayeen, and related personnel, the task will not be as hard as it might have been,'' he said.",battle,0,1482
323,"An explosion in a cafe at one of the capital's busiest intersections killed one woman and injured another Tuesday, police said.",explosion,0,1405
761,"Some of you may be wondering why there were two carousel organizations in the first place. The National Carousel Association was founded in the early 1970's by a group of art historians and collectors, including Frederick Fried, author of the 1964 book ""A Pictorial History of The Carousel"" that single-handedly gave the classic hand-carved wooden carousel the respect and appreciation it deserved. Other founders included Charlotte Dinger, who was already a major collector of carousel artwork at the time. The purpose of the NCA is ""to promote conservation, appreciation, knowledge and enjoyment of the art of the classic wooden carousel and especially the preservation of complete wooden carousels.""",founded,6,1703
744,"If my exwife doesn't dump B, maybe they'll wind up staying together, maybe even getting married. I think that would be nice. And they too will begin the process of rebuilding their ""together"" lives. I'm assuming there is some humanity beneath my exwife's narcicistic shell, but I do believe there is. B seems like a decent enough person too. So, B and my ex will be doing the same thing that I'm doing. Rebuilding their lives.",married,5,1583
530,"As mentioned in ""The Final Solution"" thread, the number of men killed for being homosexual was at the most 10-15,000. Now that's significant, but compared to the genocide of Jews and Zigeuner it's not as significant (though of course to the family and loved ones of those who died every single one is significant).",killed,1,1771
184,"of course, according to the guardian, she's very worried about that, too, and she has warned the court that she hopes the mother will be placed in a better home when all of this is over, one where she is far better protected than she was by the state in a home where police say she was raped. aaron",raped,0,667
958,"""...........are suing to overthrow the results of the governor's election is Washington State because there were some ""errors"" in the process. (They hollered ""fraud"" until they got to court, but unable to find any evidence with which to substantiate that charge they have backed down to ""errors"".)",election,17,1676
828,"Kristin Scott, the mother, told police she gave birth secretly to both babies at her parents' home in Byrds Creek, Richland County, one of unknown sex in April 2001 and the other, a fullterm girl, January 14.",birth,11,1132
638,"In Paris, the French media group said parent company chairman Jean-Rene Fourtou will replace Diller as chairman and chief executive of US unit.",replace,3,979
578,"Last Saturday night, rebels in the Central Africa Republic, captured the airport in the capital city of Bangui and the residence of  President Ange-Felix Patasse, who is out of the country.",captured,2,1499
314,"kay jones in waterford, connecticut, sure, let's invade iran. wior already over there, besides the biggest cost us to next to the loss of life is transporting our troops overseas. iraq, iran. it's only one letter off, we could call it a typo. a little cruel. bill in montana. nuclear weapons in iran, hope -- and buzz writes no one wants to see a war, but no one upons to see another september 11th even more. especially a nuclear september 11th. i would support military action in iran if it helps to stabilize that area of the world.",invade,0,661
1204,Television footage showed medical teams carting away dozens of wounded victims with fully armed troops on guard.,wounded,24,965
303,Police were investigating the cause of the explosion in the restroom of the multistory Crocodile Cafe in the commercial district of Kizilay during the morning rush hour. The blast shattered walls and windows in the building.,explosion,0,1406
458,Our country is great enough and strong enough to maintain the moral authority to convince the international community that we're right. I don't think we have to kill to prove that.,kill,1,90
712,"Russia has accepted a US$150 million World Bank loan to combat the spread of AIDS and tuberculosis, ending a negotiating process that lasted four years, World Bank officials said Friday.",loan,4,1259
115,Most analysts linked Russia's opposition to a war in Iraq to fears that it will lose oil contracts that were sealed with the now-toppled regime of Saddam Hussein.,war,0,1050
476,Walter Rodgers with the 3-7th. Just ahead we'll have the latest on today's suicide bombing in Israel. A report from CNN's Kelly Wallace when we return.,suicide,1,157
1552,"To the south, more black smoke over the town of Basra. British troops control the outskirts of the town, and today destroyed another building they said housed Iraqi fighters. There is much fear here of the Saddam loyalists who still hold sway in Basra and of the invading troops waiting at the gates. (on camera): The Americans are racing towards Baghdad, the British still seem anxious to make their progress here as measured as possible. Basra will fall. But there may first be fighting in the capital, 250 miles to the north. Tim Ewart, ITV News, southern Iraq.",invading,32,184
438,"Rep. Jeff Kottkamp, R-Cape Coral, said the bill reminded him of a sign he saw on a constituent's house while campaigning door-to-door. Kottkamp said the sign, next to a doorbell, showed a smoking .44-Magnum handgun and the words: ""We don't dial 911."" This is great news for Florida gun carriers because now to defend yourself you don't have to first make sure a ""duty to retreat"" is impossible. Currently, if one's life is threatened he/she must make sure it is impossible to escape before using deadly force on an attacker.",deadly,1,1846
1370,"the head of the catholic church in phoenix, arizona, bishop thomas o'brien has resigned. just one day after being charged with a felony. he is accused of leaving the scene of a fatal accident. earlier this month o'brien narrowly escaped prosecution over his handling of sexual abuse allegations against priests.",resigned,31,641
963,"Do you think the elections scheduled for January will take place, and if not, then what",elections,17,934
1534,"The waiver of extradition that she signed simply means that if she skips out and goes to another state, she can't contest the right of the original court to have her hauled back to its jurisdiction, and that the court won't have to initiate the time-consuming process of extraditing her. Instead, if the cops pick her up, she can be shipped back without delay.",skips,32,1635
1162,"If they are interested in setting up a meeting then have them contact me at 979-777-6445 or at laurouse...@yahoo.com and I will send the info to Tori, or have them contact Tori Foster to set up a time.",meeting,21,1618
1512,"-and she's going to have to fly back to Wisconsin, um-",fly,32,915
573,Amnesty opposes the death penalty for any crime.,death,1,1017
1041,"the story behind the defendants of tulia, texas, is our ""headlines timeline."" july 23rd, 1999 -- there was a massive drug bust in a predominately african-american neighborhood in tulia. of the 46 people arrested, 39 are african-american. the case against them was based on the testimony of undercover officer thomas coleman. coleman claimed he bought drugs from the defendants, but offered little or no supporting evidence. after the first of several trials ended with convictions and harsh sentences, most of the other defendants pleaded guilty to avoid hard time. march 17, 2003 -- with coleman's credibility under serious attack, new hearings for the tulia defendants get under way. the hearings are stopped when the judge, defense attorneys and prosecutors agree that coleman lied under oath and is a racist. coleman denies doing anything wrong. it took a special act of the texas legislature to clear the way for monday's release. but these men and the others caught up in the tulia tragedy are still convicted criminals. now it's up to the appeals court and the board of pardon and paroles to officially clear their names.",convictions,18,351
944,"well, the key here is the only way to get that kind of legitimate government to have it look good is to hold elections. but if you hold elections, you stop the whole process of building a rule of law, creating courts, creating administration. we've seen in the past in bosnia for example, you held elections and all of the old ethnic thugs get into power because they have organization and they have money and they stop the process of genuine building of democracy. there is this tension here which is the only way to make this look good is in some way get legitimate iraqi authority, but the faster you get that, the more likely you stop this process.",elections,17,428
679,"right now, aaron tonkin factors in no fewer than seven different federal and state investigations. one of them being an irs investigation into several million dollars worth of cash and gift that is he gave to many many hollywood celebrities.",gave,4,673
815,the struggle for power in a postsaddam iraq has begun. a key faction bidding for control announced it will protest the presence of a prominent iraqi exile leader. the head of the iraqi democratic movement says his group will hold a demonstration in nasiriyah to denounce the presence of ahmad chalabi. chalabi is the founder and leader of the iraqi national congress. he was escorted into iraq tuesday by u.s. marines. chalabi staged his own rally yesterday to support his bid to become the next leader of iraq.,protest,10,324
826,"The blood red nation of China is trying to curb the effects of a devastating 20-year-old policy that outlawed women from having more than one child. As a result, only about 100 girls are born for every 119 boys, because couples traditionally favor males.",having,11,1817
595,"and -- I am a driver -- and a loader and -- a lot of other stuff.  um I work for -- this guy named uh Joe, he was a regional -- bank manager for Wachovia for a few years.  and bought our company out from our previous owner.  um",bought,2,709
