sentence,trigger,event_type,tag
加拿大官员表示应该继续拘留他们，因为他们可能会逃离加拿大或躲藏起来，从而躲避要将他们遣返的听证会,拘留,27,313
结婚第二天一大早，“咚”的一声从MSN里冒上来，我一看名字，叫“被人骗了”,结婚,5,1951
铁道部、广州铁路集团公司今天在北京举行《邪教“法轮功”百问》出版发行座谈会,座谈会,21,1065
施罗德还强烈呼吁巴以双方立刻采取措施，制止流血冲突,冲突,0,64
新华社华盛顿１０月１７日电美国密苏里州州长卡纳汉１６日晚在一次飞机坠毁事故中遇难,遇难,1,943
南斯拉夫国家通讯社南通社，把反对派领袖科什图尼察称为这个国家的当选总统,当选,17,1847
有目击者对印尼雅加达电台表示，在北部的亚齐省，至少有数百人死于地震和随后引发的海啸,死,1,2043
被家属拳打脚踢的这名男子就是刚被逮捕的强暴犯主行林金万，嫌犯林金万今年3月才因为涉嫌对男童性侵害被捕人坐牢，这个月假释出狱,逮捕,27,1817
洪水虽然已经消退，但工作平台下方黄浊的河水边依然卡着大量的垃圾，事实上在尚神台风来袭时这里被卡住的垃圾可是现在的好几倍，甚至连这部已经被吊起来的油罐车当时也从上游顺水而下被卡在这里，也难怪当地民众要戏称再办一条下方工作平台，在大雨当时根本犹如形成一座漫帅水坝，把河道、河水全都堵住了，因此流不过去的洪水只好漫过上游两侧，而上游正是内湖、南港地区，当然它们会淹水淹的惨兮兮,下,32,1381
原本预料陈水扁总统在27号的扁连会中和国民党主席连战提及有关前行政院长，现任国民党副主席肖万长代表陈总统参加亚太经合会大量正式领袖会议的可能性,会,21,1781
蒙特西诺斯因贿赂丑闻和藤森下令解散他所领导的国家情报部门—秘密警察后，于9月逃离秘鲁,解散,28,539
说话间，汽车已来到大沽船坞遗址,来到,32,200
刑事警察局侦察科已经去函海峡交流基金会，要求海基会协调大陆海峡两岸关系协会将日前被中共公安逮捕的四海帮帮主杨光南等人遣返回台湾,逮捕,27,1392
这个地方的店铺和民房被西藏人投掷的石头毁坏,投掷,0,416
埃斯特拉达在接受三家电视台的访问时表示，他这位过去的酒友，也就是省长辛森曾经将从非法赌博业者所取得的汇款存入一间银行的账户,取得,4,1212
例如，在日本，37%的受访女性认为，结婚成家之后，就要求她们放弃财务自由,结婚,5,2157
他说：“我曾直接要求藤森逮捕蒙特西诺斯，并立即把他送上法庭受审,逮捕,27,537
